uberon_id	xref
UBERON:0002421	BTO:0000601
UBERON:0002422	BTO:0003426
UBERON:0002424	BTO:0001775
UBERON:0002426	BTO:0000508
UBERON:0002432	BTO:0001788
UBERON:0002433	BTO:0001739
UBERON:0002434	BTO:0000768
UBERON:0002435	BTO:0000418
UBERON:0002436	BTO:0004703
UBERON:0002437	BTO:0000236
UBERON:0002439	BTO:0002436
UBERON:0002440	BTO:0000240
UBERON:0002441	BTO:0001815
UBERON:0002444	BTO:0000724
UBERON:0002450	BTO:0001360
UBERON:0002451	BTO:0003433
UBERON:0002451	BTO:0004518
UBERON:0002462	BTO:0001652
UBERON:0002463	BTO:0003179
UBERON:0002464	BTO:0000927
UBERON:0002466	BTO:0000644
UBERON:0002469	BTO:0002859
UBERON:0002470	BTO:0004359
UBERON:0002476	BTO:0002247
UBERON:0002477	BTO:0002248
UBERON:0002483	BTO:0001700
UBERON:0002486	BTO:0001627
UBERON:0002495	BTO:0004256
UBERON:0002499	BTO:0004686
UBERON:0002509	BTO:0000767
UBERON:0002512	BTO:0000292
UBERON:0002513	BTO:0002157
UBERON:0002515	BTO:0001022
UBERON:0002516	BTO:0000412
UBERON:0002520	BTO:0000769
UBERON:0002522	BTO:0002011
UBERON:0002523	BTO:0002012
UBERON:0002530	BTO:0000522
UBERON:0002532	BTO:0004593
UBERON:0002533	BTO:0001445
UBERON:0002536	BTO:0001237
UBERON:0002537	BTO:0000981
UBERON:0002538	BTO:0000558
UBERON:0002539	BTO:0001785
UBERON:0002542	BTO:0005055
UBERON:0002547	BTO:0001347
UBERON:0002548	BTO:0000707
UBERON:0002581	BTO:0004354
UBERON:0002596	BTO:0004373
UBERON:0002596	BTO:0004374
UBERON:0002601	BTO:0002497
UBERON:0002623	BTO:0004676
UBERON:0002631	BTO:0004677
UBERON:0002633	BTO:0001075
UBERON:0002634	BTO:0002450
UBERON:0002637	BTO:0002468
UBERON:0002661	BTO:0004836
UBERON:0002673	BTO:0004368
UBERON:0002702	BTO:0004834
UBERON:0002705	BTO:0002454
UBERON:0002706	BTO:0002461
UBERON:0002708	BTO:0002479
UBERON:0002709	BTO:0002462
UBERON:0002727	BTO:0002251
UBERON:0002728	BTO:0002650
UBERON:0002739	BTO:0002453
UBERON:0002741	BTO:0002445
UBERON:0002743	BTO:0002444
UBERON:0002758	BTO:0002673
UBERON:0002759	BTO:0002672
UBERON:0002776	BTO:0002467
UBERON:0002778	BTO:0004375
UBERON:0002883	BTO:0002686
UBERON:0002886	BTO:0002704
UBERON:0002891	BTO:0002703
UBERON:0002892	BTO:0002702
